B04, Trade, 86192.442, 131, S10, B04, 1
B04, Trade, 86204.596, 125, B04, S08, 1
B04, Trade, 86209.846, 135, S15, B04, 1
B04, Trade, 86219.981, 129, B04, S12, 1
B04, Trade, 86236.135, 126, B04, S14, 1
B04, Trade, 86239.827, 131, S16, B04, 1
B04, Trade, 86250.481, 133, S05, B04, 1
B04, Trade, 86269.654, 128, B04, S07, 1
B04, Trade, 86275.096, 126, S04, B04, 1
B04, Trade, 86309.269, 128, B04, S18, 1
B04, Trade, 86310.404, 127, B04, S03, 1
B04, Trade, 86340.115, 130, S17, B04, 1
B04, Trade, 86355.942, 127, B04, S05, 1
B04, Trade, 86364.096, 130, B04, S22, 1
B04, Trade, 86367.519, 138, S16, B04, 1
B04, Trade, 86385.788, 131, B04, S03, 1
B05, 100
B05, Trade, 85202.750, 132, S15, B05, 1
B05, Trade, 85212.077, 123, S08, B05, 1
B05, Trade, 85221.423, 125, S21, B05, 1
B05, Trade, 85227.385, 129, S06, B05, 1
B05, Trade, 85233.038, 134, S08, B05, 1
B05, Trade, 85252.923, 134, S05, B05, 1
B05, Trade, 85269.250, 132, S04, B05, 1
B05, Trade, 85276.962, 130, B05, S02, 1
B05, Trade, 85285.250, 131, S04, B05, 1
B05, Trade, 85295.000, 125, S06, B05, 1
B05, Trade, 85310.788, 135, B05, S12, 1
B05, Trade, 85317.327, 128, B05, S10, 1
B05, Trade, 85328.731, 134, S05, B05, 1
B05, Trade, 85333.596, 137, S18, B05, 1
B05, Trade, 85342.308, 127, B05, S24, 1
B05, Trade, 85357.346, 125, S14, B05, 1
B05, Trade, 85368.308, 134, S17, B05, 1
B05, Trade, 85376.212, 127, S06, B05, 1
B05, Trade, 85385.962, 140, B05, S14, 1
B05, Trade, 85400.365, 127, S19, B05, 1
B05, Trade, 85406.269, 134, S15, B05, 1
B05, Trade, 85421.192, 131, S21, B05, 1
B05, Trade, 85426.000, 131, S04, B05, 1
B05, Trade, 85435.827, 130, S09, B05, 1
B05, Trade, 85448.000, 137, S05, B05, 1
B05, Trade, 85460.577, 125, S17, B05, 1
B05, Trade, 85472.288, 131, S07, B05, 1
B05, Trade, 85481.962, 137, S16, B05, 1
B05, Trade, 85484.115, 135, S06, B05, 1
B05, Trade, 85496.788, 127, S18, B05, 1
B05, Trade, 85506.692, 134, S15, B05, 1
B05, Trade, 85534.596, 129, P00, B05, 1
B05, Trade, 85553.635, 128, S04, B05, 1
B05, Trade, 85582.404, 138, B05, S09, 1
B05, Trade, 85586.538, 136, S05, B05, 1
B05, Trade, 85600.077, 127, S06, B05, 1
B05, Trade, 85616.538, 130, S21, B05, 1
B05, Trade, 85627.981, 135, S04, B05, 1
B05, Trade, 85647.231, 126, B05, S13, 1
B05, Trade, 85650.635, 132, S24, B05, 1
B05, Trade, 85661.308, 129, S23, B05, 1
B05, Trade, 85665.096, 125, S04, B05, 1
B05, Trade, 85681.692, 130, S24, B05, 1
B05, Trade, 85691.250, 136, S23, B05, 1
B05, Trade, 85693.942, 135, S15, B05, 1
B05, Trade, 85720.135, 137, S17, B05, 1
B05, Trade, 85723.865, 130, S03, B05, 1
B05, Trade, 85745.596, 130, S11, B05, 1
B05, Trade, 85756.519, 130, B05, S12, 1
B05, Trade, 85770.192, 126, S00, B05, 1
B05, Trade, 85782.673, 128, S04, B05, 1
B05, Trade, 85789.019, 132, S12, B05, 1
B05, Trade, 85795.615, 135, S10, B05, 1
B05, Trade, 85811.192, 126, S13, B05, 1
B05, Trade, 85820.788, 127, S06, B05, 1
B05, Trade, 85828.500, 129, B05, S10, 1
B05, Trade, 85839.423, 133, S18, B05, 1
B05, Trade, 85859.442, 131, S22, B05, 1
